origen,producto,category
Veracruz,Langosta,crustaceos
Baja California Sur,Filete de cazón o tiburón,crustaceos
Veracruz,Cazón tripa,pescado
Veracruz,Cochito o Cochino,pescado
Veracruz,Cherna aleta prieta,pescado
Veracruz,Pargo rojo,pescado
Veracruz,Angelito,pescado
Veracruz,Marlín,pescado
Baja California Sur,Cazón con cabeza,pescado
Baja California Sur,Abadejo,pescado
Tamaulipas,Cabrillo,pescado
Veracruz,Lisa del Golfo,pescado
Veracruz,Camarones 16/20,crustaceos
Veracruz,Camarones 21/25,crustaceos
Veracruz,Camarones 26/30,crustaceos
Veracruz,Camarones 31/35,crustaceos
Veracruz,Camarones 41/50,crustaceos
Veracruz,Camarones 51/60,crustaceos
Veracruz,Camarones botalon,crustaceos
Veracruz,Camarones U10,crustaceos
Veracruz,Camarones U12,crustaceos
Veracruz,Camarones U15,crustaceos
Veracruz,Cola de langosta,crustaceos
Michoacán,Pulpo s/vísceras,moluscos
Campeche,Curbina,filetes
Campeche,Mojarra rayada,filetes
Campeche,Raya,filetes
Michoacán,Mojarra Marina,pescado
Yucatán,Robalo del pacífico,pescado
Veracruz,Guitarra,pescado
Veracruz,Robalo chico,pescado
Baja California Sur,Mantarraya,pescado
Veracruz,Lisa macho,pescado
Baja California,Callo de almeja,moluscos
Yucatán,Curbina,filetes
Sonora,Filete de huachinango,filetes
Baja California,Lenguado,filetes
Chiapas,Ronco amarillo,filetes
Sinaloa,Lenguado grande,pescado
Tamaulipas,Lisa del Pacífico,pescado
Campeche,Lisa del Pacífico,pescado
Tamaulipas,Aleta de raya,pescado
Michoacán,Mero,pescado
Distrito Federal,Aleta de raya,pescado
Tabasco,Pargo Huachinango,pescado
Sinaloa,Angelito,pescado
Sinaloa,Gurrubata,pescado
Baja California Sur,Bacoca,pescado
Baja California,Mojarra plateada,pescado
Baja California,Baqueta,pescado
Baja California,Lucero,pescado
Baja California,Pargo blanco,pescado
Sinaloa,Pierna,pescado
Baja California,Verdillo,pescado
Baja California,Curbina,pescado
Sonora,Conejo,pescado
Baja California,Marlín,pescado
Nayarit,Cazón sin cabeza,pescado
Nayarit,Gurrubata,pescado
Sonora,Jaiba en pulpa,crustaceos
Sonora,Langostino,crustaceos
Tamaulipas,Camarones 51/60,crustaceos
Sinaloa,Langosta entera cruda,crustaceos
Baja California Sur,Langosta entera cruda,crustaceos
Sonora,Callo de hacha,moluscos
Tamaulipas,Calamar americano,moluscos
Sinaloa,Calamar gigante,moluscos
Baja California,Robalo,filetes
Sonora,Bagre,filetes
Importación,Filete de huachinango,filetes
Tamaulipas,Bagre,filetes
Sinaloa,Lobina,filetes
Campeche,Lenguado,filetes
Baja California,Filete de huachinango,filetes
Veracruz,Cóndor,pescado
Veracruz,Torito,pescado
Tlaxcala,Lisa del Golfo,pescado
Sinaloa,Trucha marina,pescado
Chiapas,Chucumite,pescado
Chiapas,Lisa del Pacífico,pescado
Chiapas,Mojarra blanca,pescado
Chiapas,Mojarra plateada,pescado
Guerrero,Huachinango grande,pescado
Nayarit,Camarones 21/25,crustaceos
Nayarit,Camarones 16/20,crustaceos
Nayarit,Camarones U10,crustaceos
Tabasco,Camarón Macuil,crustaceos
Tamaulipas,Langosta,crustaceos
Yucatán,Caracol burro,moluscos
Baja California,Callo de hacha,moluscos
Tamaulipas,Almeja chirla,moluscos
Aguascalientes,Filete de cazón o tiburón,filetes
Aguascalientes,Filete de huachinango,filetes
Aguascalientes,Filete de mero,filetes
Aguascalientes,Filete de tilapia,filetes
Oaxaca,Langosta,crustaceos
Baja California Sur,Pulpo s/vísceras,moluscos
Oaxaca,Ostión con concha,moluscos
Baja California Sur,Raya,filetes
Baja California Sur,Pargo,filetes
Nayarit,Filete de carpa,filetes
Veracruz,Filete de mero,filetes
Veracruz,Angelito,filetes
Veracruz,Filete de carpa,filetes
Sinaloa,Lisa del Golfo,pescado
Aguascalientes,Huachinango Golfo,pescado
Guerrero,Lenguado chico,pescado
Guerrero,Rubia o Biajaiba,pescado
Importación,Almeja chirla,moluscos
Yucatán,Angelito,filetes
Yucatán,Plateado,filetes
Yucatán,Trucha,filetes
Campeche,Camarón Pacotilla,crustaceos
Veracruz,Bacoca,pescado
